1,1st Tier Unifine Pentips,Pen Needle,Owen Mumford Us
2,1st Tier Unifine Pentips,Diabetic,Owen Mumford Us
3,1st Tier Unifine Pentips Plus,Pen Needle,Owen Mumford Us
4,1st Tier Unifine Pentips Plus,Diabetic,Owen Mumford Us
5,Abacavir,Abacavir Sulfate,"Cipla USA, Inc."
6,Abacavir,Abacavir Sulfate,Major Pharmaceu
7,Abacavir,Abacavir Sulfate,Strides Pharma
8,Abacavir,Abacavir Sulfate,Mylan
9,Abacavir,Abacavir Sulfate,Aurobindo Pharm
10,Abacavir,Abacavir Sulfate,Camber Pharmace
11,Abacavir,Abacavir Sulfate,Rising Pharm
12,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,"Cipla USA, Inc."
13,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Lupin Pharmaceu
14,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Aurobindo Pharm
15,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Teva USA
16,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Burel Pharmaceu
17,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,Lupin Pharmaceu
18,Abelcet,Amphotericin B Lipid Complex,Leadiant Biosci
19,Abilify,Aripiprazole,Otsuka America
20,Abilify Maintena,Aripiprazole,Otsuka America
21,Abilify Mycite,Aripiprazole,Otsuka America
22,Abiraterone Acetate,Abiraterone Acetate,Bluepoint/Oncop
23,Abiraterone Acetate,Abiraterone Acetate,Mylan
24,Abiraterone Acetate,Abiraterone Acetate,Novadoz Pharmac
25,Abiraterone Acetate,Abiraterone Acetate,Northstar Rx Ll
26,Abiraterone Acetate,Abiraterone Acetate,Dr.Reddy'S Lab
27,Abiraterone Acetate,Abiraterone Acetate,Wockhardt USA L
28,Abiraterone Acetate,Abiraterone Acetate,"Celltrion USA,"
29,Abiraterone Acetate,Abiraterone Acetate,Major Pharmaceu
30,Abiraterone Acetate,Abiraterone Acetate,Rising Pharm
31,Abiraterone Acetate,Abiraterone Acetate,Avkare
32,Abiraterone Acetate,Abiraterone Acetate,Glenmark Pharma
33,Abiraterone Acetate,Abiraterone Acetate,West-Ward/Hikma
34,Abiraterone Acetate,Abiraterone Acetate,Teva USA
35,Abiraterone Acetate,Abiraterone Acetate,Patriot Pharmac
36,Abiraterone Acetate,Abiraterone Acetate,Amneal Pharmace
37,Abiraterone Acetate,Abiraterone Acetate,Mylan Instituti
38,Abiraterone Acetate,Abiraterone Acetate,Apotex Corp
39,Abraxane,Paclitaxel Protein-Bound,Celgene/BMS
40,Absorica,Isotretinoin,Sun Pharmaceuti
41,Absorica Ld,Isotretinoin,Sun Pharmaceuti
42,Absorica Ld,Micronized,Sun Pharmaceuti
43,Acamprosate Calcium,Acamprosate Calcium,Teva USA
44,Acamprosate Calcium,Acamprosate Calcium,Mylan
