Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Tot_Benes_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Avg_Spnd_Per_Bene_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Chg_Avg_Spnd_Per_Dsg_Unt_20_21,CAGR_Avg_Spnd_Per_Dsg_Unt_17_21
1st Tier Unifine Pentips,Pen Needle,Owen Mumford Us,217938.04,1014318.0,8595.0,3025.0,0.216104703,25.356374636,72.045633058,0.0,167193.78,761658.0,6538.0,2341.0,0.2197847893,25.572618538,71.419812046,0.0,139201.68,642471.0,5392.0,1878.0,0.2167879244,25.816335312,74.122300319,0.0,118923.24,547006.0,4457.0,1595.0,0.217701046,26.682351357,74.560025078,0.0,102280.76,459384.0,3708,1313.0,0.2230012539,27.583807983,77.898522468,0,0.0243462676,0.0078845123
1st Tier Unifine Pentips,Diabetic,Owen Mumford Us,217938.04,1014318.0,8595.0,3025.0,0.216104703,25.356374636,72.045633058,0.0,167193.78,761658.0,6538.0,2341.0,0.2197847893,25.572618538,71.419812046,0.0,139201.68,642471.0,5392.0,1878.0,0.2167879244,25.816335312,74.122300319,0.0,118923.24,547006.0,4457.0,1595.0,0.217701046,26.682351357,74.560025078,0.0,102280.76,459384.0,3708,1313.0,0.2230012539,27.583807983,77.898522468,0,0.0243462676,0.0078845123
1st Tier Unifine Pentips Plus,Pen Needle,Owen Mumford Us,402124.68,1850703.0,15403.0,5967.0,0.2173594207,26.106906447,67.391432881,0.0,369402.85,1813908.0,14931.0,5674.0,0.203657836,24.74066372,65.104485372,0.0,343031.42,1830596.0,14581.0,5319.0,0.1873888035,23.525918661,64.491712728,0.0,210217.15,1046616.0,8408.0,3905.0,0.200851195,25.002039724,53.832816901,0.0,131927.33,566872.0,4564,1766.0,0.2328115409,28.906075811,74.704037373,0,0.1591244996,0.0173174858
1st Tier Unifine Pentips Plus,Diabetic,Owen Mumford Us,402124.68,1850703.0,15403.0,5967.0,0.2173594207,26.106906447,67.391432881,0.0,369402.85,1813908.0,14931.0,5674.0,0.203657836,24.74066372,65.104485372,0.0,343031.42,1830596.0,14581.0,5319.0,0.1873888035,23.525918661,64.491712728,0.0,210217.15,1046616.0,8408.0,3905.0,0.200851195,25.002039724,53.832816901,0.0,131927.33,566872.0,4564,1766.0,0.2328115409,28.906075811,74.704037373,0,0.1591244996,0.0173174858
Abacavir,Abacavir Sulfate,"Cipla USA, Inc.",,,,,,,,,227189.15,50997.0,832.0,241.0,4.4549512716,273.06388221,942.69356846,0.0,698311.33,192395.0,3311.0,698.0,3.6295710907,210.90647236,1000.4460315,0.0,758387.24,201025.0,3347.0,665.0,3.7726016167,226.58716463,1140.4319398,0.0,650297.1,204718.0,3276,651.0,3.1765506697,198.50338828,998.9202765,0,-0.15799467,-0.106617153
Abacavir,Abacavir Sulfate,Major Pharmaceu,13130.04,2832.0,55.0,18.0,4.6363135593,238.728,729.44666667,0.0,18653.71,4401.0,82.0,21.0,4.2385162463,227.48426829,888.27190476,0.0,9639.18,2474.0,44.0,16.0,3.896192401,219.07227273,602.44875,1.0,2218.37,1008.0,17.0,,2.2007638889,130.49235294,,1.0,8247.76,1889.0,39,,4.3662043409,211.48102564,,1,0.9839494654,-0.01489434
Abacavir,Abacavir Sulfate,Strides Pharma,588466.2,125413.0,2017.0,797.0,4.6922264837,291.75319782,738.35156838,0.0,31864.29,7006.0,125.0,60.0,4.5481430203,254.91432,531.0715,0.0,6729.76,1200.0,21.0,,5.6081333333,320.4647619,,1.0,3879.57,660.0,17.0,,5.8781363636,228.21,,1.0,2529.84,630.0,13,,4.0156190476,194.60307692,,1,-0.316855071,-0.038180927
Abacavir,Abacavir Sulfate,Mylan,1616845.7,346490.0,5744.0,1149.0,4.6663560276,281.48427925,1407.1764143,0.0,1468380.35,329353.0,5307.0,1493.0,4.4583785482,276.68745996,983.50994642,0.0,1937920.78,500896.0,7984.0,1505.0,3.868908476,242.7255486,1287.6550033,0.0,1670937.94,414685.0,6225.0,1246.0,4.0294149535,268.42376546,1341.0416854,0.0,1040794.94,285628.0,4154,842.0,3.6438827426,250.55246509,1236.0985036,0,-0.095679451,-0.059959358
Abacavir,Abacavir Sulfate,Aurobindo Pharm,5846822.45,1296616.0,20938.0,3544.0,4.5092937693,279.24455297,1649.780601,0.0,4621104.64,1061307.0,17139.0,3336.0,4.354163913,269.62510298,1385.2232134,0.0,3097563.43,836918.0,13106.0,2299.0,3.7011552267,236.34697314,1347.3525141,0.0,2415760.81,715751.0,10958.0,1757.0,3.375141369,220.45636156,1374.9350085,0.0,2114714.13,636792.0,9667,1549.0,3.3208867731,218.75598738,1365.212479,0,-0.016074763,-0.073625942
Abacavir,Abacavir Sulfate,Camber Pharmace,5320985.69,1418356.0,19529.0,4333.0,3.9229049628,272.46585539,1228.0142372,0.0,4230093.55,1413429.0,16765.0,3360.0,3.6014263364,252.31694304,1258.9564137,0.0,4234275.07,1473874.0,17795.0,3305.0,3.1949178056,237.94746108,1281.1724871,0.0,4217073.33,1343347.0,16120.0,2951.0,3.3884973498,261.60504529,1429.0319654,0.0,3098891.42,1109140.0,12954,2373.0,3.0321813782,239.22274355,1305.8960893,0,-0.105154567,-0.062358443
